Speaker3,Speaker4,Speaker13,Speaker5,Speaker6,Speaker2,Speaker8,Speaker14,Speaker12,Speaker10,Speaker1,Speaker15,Speaker9,Speaker7,Speaker11
0, 8, 9, 6, 8, 5, 10, 11, 9, 8, 6, 10, 10, 10, 7
5, 0, 9, 6, 6, 3, 8, 8, 7, 6, 4, 9, 9, 8, 6
4, 4, 0, 2, 2, 1, 4, 5, 3, 4, 1, 6, 6, 3, 3
7, 7, 11, 0, 8, 4, 10, 12, 10, 9, 5, 9, 9, 10, 10
5, 7, 11, 5, 0, 5, 4, 13, 8, 7, 4, 9, 8, 9, 6
8, 10, 12, 9, 8, 0, 9, 11, 11, 10, 7, 11, 11, 12, 10
3, 5, 9, 3, 9, 4, 0, 10, 8, 7, 3, 8, 9, 8, 6
2, 5, 8, 1, 0, 2, 3, 0, 4, 4, 1, 5, 5, 4, 4
4, 6, 10, 3, 5, 2, 5, 9, 0, 5, 4, 8, 9, 6, 7
5, 7, 9, 4, 6, 3, 6, 9, 8, 0, 3, 7, 9, 7, 7
7, 9, 12, 8, 9, 6, 10, 12, 9, 10, 0, 9, 10, 9, 8
3, 4, 7, 4, 4, 2, 5, 8, 5, 6, 4, 0, 6, 5, 4
3, 4, 7, 4, 5, 2, 4, 8, 4, 4, 3, 7, 0, 5, 5
3, 5, 10, 3, 4, 1, 5, 9, 7, 6, 4, 8, 8, 0, 5
6, 7, 10, 3, 7, 3, 7, 9, 6, 6, 5, 9, 8, 8, 0
