ID;age;gender;spk_pseudonym
1;28;f;lelydorp
2;28;f;moundou
3;33;f;hangaroa
4;29;m;linden
5;26;m;nicosia
6;22;m;rabat
7;24;m;klaksvik
8;28;f;dakar
9;30;f;durres
10;30;f;medellin
11;21;f;jerusalem
12;27;f;ngerulmud
13;34;f;freetown
14;34;f;lilongwe
15;22;f;francistown
16;21;m;beirut
17;29;f;brazzaville
18;25;m;rotterdam
19;30;m;banjul
20;31;m;edinburghofthesevenseas
21;30;m;dakhla
22;24;m;marseille
23;30;m;malabo
24;21;m;kigali
25;25;m;westbay
26;20;f;charlestown
27;29;f;riffa
28;28;m;debrecen
29;29;f;speightstown
30;28;m;sanaa
